stock_id,net_buy,date
067768,490000.0,2026-07-07
071312,489000.0,2026-07-07
069326,488000.0,2026-07-07
064185,488000.0,2026-07-07
069058,487000.0,2026-07-07
070163,487000.0,2026-07-07
064434,487000.0,2026-07-07
054286,486000.0,2026-07-07
068270,485000.0,2026-07-07
043903,484000.0,2026-07-07
066077,484000.0,2026-07-07
070947,483000.0,2026-07-07
03511T,483000.0,2026-07-07
070555,482000.0,2026-07-07
071476,482000.0,2026-07-07
064093,482000.0,2026-07-07
068854,481000.0,2026-07-07
063339,481000.0,2026-07-07
071587,481000.0,2026-07-07
057545,480000.0,2026-07-07
063533,480000.0,2026-07-07
069357,480000.0,2026-07-07
2385,479240.0,2026-07-07
069595,477000.0,2026-07-07
071341,477000.0,2026-07-07
072395,477000.0,2026-07-07
057434,476000.0,2026-07-07
068288,476000.0,2026-07-07
072399,475000.0,2026-07-07
071960,475000.0,2026-07-07
052984,474000.0,2026-07-07
070961,474000.0,2026-07-07
042207,473000.0,2026-07-07
072234,473000.0,2026-07-07
071344,473000.0,2026-07-07
063553,473000.0,2026-07-07
067041,472000.0,2026-07-07
071153,471000.0,2026-07-07
1623,469187.0,2026-07-07
067125,469000.0,2026-07-07
6491,468982.0,2026-07-07
6531,468490.0,2026-07-07
071475,468000.0,2026-07-07
065774,467000.0,2026-07-07
070613,467000.0,2026-07-07
061441,467000.0,2026-07-07
064071,467000.0,2026-07-07
061042,466000.0,2026-07-07
049688,465000.0,2026-07-07
065752,464000.0,2026-07-07
071017,464000.0,2026-07-07
00763U,462893.0,2026-07-07
064457,462000.0,2026-07-07
058643,462000.0,2026-07-07
058864,461000.0,2026-07-07
057517,460000.0,2026-07-07
069513,460000.0,2026-07-07
062236,458000.0,2026-07-07
033639,457000.0,2026-07-07
00909,456563.0,2026-07-07
070789,456000.0,2026-07-07
062601,456000.0,2026-07-07
3055,454651.0,2026-07-07
069403,454000.0,2026-07-07
073288,454000.0,2026-07-07
072657,453000.0,2026-07-07
7827,452358.0,2026-07-07
068146,450000.0,2026-07-07
067410,450000.0,2026-07-07
070999,450000.0,2026-07-07
041162,450000.0,2026-07-07
039034,450000.0,2026-07-07
072143,449000.0,2026-07-07
054554,448000.0,2026-07-07
074094,446000.0,2026-07-07
071421,446000.0,2026-07-07
071425,445000.0,2026-07-07
070205,445000.0,2026-07-07
042826,445000.0,2026-07-07
072463,445000.0,2026-07-07
00715L,444391.0,2026-07-07
06337U,443000.0,2026-07-07
068073,442000.0,2026-07-07
3015,440846.0,2026-07-07
060978,440000.0,2026-07-07
065227,440000.0,2026-07-07
00650L,439546.0,2026-07-07
060854,439000.0,2026-07-07
069048,439000.0,2026-07-07
072450,438000.0,2026-07-07
060367,435000.0,2026-07-07
1734,434957.0,2026-07-07
062308,434000.0,2026-07-07
069922,433000.0,2026-07-07
073497,433000.0,2026-07-07
072701,432000.0,2026-07-07
064017,432000.0,2026-07-07
035347,431000.0,2026-07-07
074212,430000.0,2026-07-07
072010,429000.0,2026-07-07
072512,427000.0,2026-07-07
059293,427000.0,2026-07-07
03210T,426000.0,2026-07-07
069693,426000.0,2026-07-07
073551,426000.0,2026-07-07
068926,424000.0,2026-07-07
068064,422000.0,2026-07-07
035752,422000.0,2026-07-07
073762,420000.0,2026-07-07
060315,420000.0,2026-07-07
8261,419622.0,2026-07-07
057334,418000.0,2026-07-07
08494U,417000.0,2026-07-07
064350,417000.0,2026-07-07
00897,416319.0,2026-07-07
054176,416000.0,2026-07-07
009801,415740.0,2026-07-07
053505,414000.0,2026-07-07
070012,414000.0,2026-07-07
063590,414000.0,2026-07-07
053338,413000.0,2026-07-07
066616,412000.0,2026-07-07
03050T,411000.0,2026-07-07
065639,411000.0,2026-07-07
054089,410000.0,2026-07-07
043091,410000.0,2026-07-07
061620,408000.0,2026-07-07
059266,408000.0,2026-07-07
